admin_unit_code,pct_women_10yr_schooling,pct_households_with_electricity,capacity_raw,connectivity,source,year
IN-OR-nuapada,27.3,94.6,54.22,0.2826,NFHS-5,2021
IN-OR-puri,38.1,99.5,62.66,0.4396,NFHS-5,2021
IN-OR-rayagada,19.1,96.6,50.1,0.206,NFHS-5,2021
IN-OR-sambalpur,36.5,98.8,61.42,0.4165,NFHS-5,2021
IN-OR-sundargarh,35.6,97.1,60.2,0.3938,NFHS-5,2021
IN-PB-amritsar,56.7,99.9,73.98,0.6501,NFHS-5,2021
IN-PB-bathinda,41.1,100.0,64.66,0.4768,NFHS-5,2021
IN-PB-faridkot,46.5,99.0,67.5,0.5296,NFHS-5,2021
IN-PB-fatehgarh-sahib,62.3,99.6,77.22,0.7103,NFHS-5,2021
IN-PB-firozpur,47.5,99.6,68.34,0.5452,NFHS-5,2021
IN-PB-gurdaspur,64.6,99.1,78.4,0.7322,NFHS-5,2021
IN-PB-hoshiarpur,73.2,99.9,83.88,0.8341,NFHS-5,2021
IN-PB-jalandhar,64.4,99.6,78.48,0.7337,NFHS-5,2021
IN-PB-kapurthala,60.3,99.8,76.1,0.6895,NFHS-5,2021
IN-PB-ludhiana,61.6,99.7,76.84,0.7032,NFHS-5,2021
IN-PB-mansa,37.5,99.5,62.3,0.4329,NFHS-5,2021
IN-PB-moga,45.2,99.9,67.08,0.5218,NFHS-5,2021
IN-PB-muktsar,39.8,99.5,63.68,0.4585,NFHS-5,2021
IN-PB-patiala,56.0,99.7,73.48,0.6408,NFHS-5,2021
IN-PB-rupnagar,64.0,99.8,78.32,0.7308,NFHS-5,2021
IN-PB-sangrur,54.4,99.6,72.48,0.6222,NFHS-5,2021
IN-PY-karaikal,59.0,99.6,75.24,0.6735,NFHS-5,2021
IN-PY-mahe,88.2,99.7,92.8,1.0,NFHS-5,2021
IN-PY-puducherry,67.2,100.0,80.32,0.7679,NFHS-5,2021
IN-PY-yanam,51.6,99.8,70.88,0.5924,NFHS-5,2021
IN-RJ-ajmer,40.2,99.9,64.08,0.466,NFHS-5,2021
IN-RJ-alwar,35.1,97.8,60.18,0.3935,NFHS-5,2021
IN-RJ-banswara,28.5,93.1,54.34,0.2849,NFHS-5,2021
IN-RJ-baran,24.4,98.3,53.96,0.2778,NFHS-5,2021
IN-RJ-barmer,25.6,95.5,53.56,0.2704,NFHS-5,2021
IN-RJ-bharatpur,30.3,98.3,57.5,0.3436,NFHS-5,2021
IN-RJ-bhilwara,25.3,99.3,54.9,0.2953,NFHS-5,2021
IN-RJ-bikaner,30.2,96.1,56.56,0.3261,NFHS-5,2021
IN-RJ-bundi,27.4,98.4,55.8,0.312,NFHS-5,2021
IN-RJ-chittaurgarh,24.8,99.0,54.48,0.2875,NFHS-5,2021
IN-RJ-churu,33.4,96.6,58.68,0.3656,NFHS-5,2021
IN-RJ-dausa,34.6,99.0,60.36,0.3968,NFHS-5,2021
IN-RJ-dhaulpur,27.0,97.5,55.2,0.3009,NFHS-5,2021
IN-RJ-dungarpur,32.5,99.4,59.26,0.3763,NFHS-5,2021
IN-RJ-ganganagar,39.3,96.9,62.34,0.4336,NFHS-5,2021
IN-RJ-hanumangarh,38.4,99.0,62.64,0.4392,NFHS-5,2021
IN-RJ-jaipur,47.9,99.5,68.54,0.5489,NFHS-5,2021
IN-RJ-jaisalmer,18.7,97.3,50.14,0.2068,NFHS-5,2021
IN-RJ-jalor,22.2,98.4,52.68,0.254,NFHS-5,2021
IN-RJ-jhalawar,22.4,99.3,53.16,0.2629,NFHS-5,2021
IN-RJ-jhunjhunun,45.2,99.0,66.72,0.5151,NFHS-5,2021
IN-RJ-jodhpur,34.6,98.4,60.12,0.3923,NFHS-5,2021
IN-RJ-karauli,22.7,98.7,53.1,0.2618,NFHS-5,2021
IN-RJ-kota,44.0,99.4,66.16,0.5046,NFHS-5,2021
IN-RJ-nagaur,32.3,99.0,58.98,0.3711,NFHS-5,2021
IN-RJ-pali,36.6,99.7,61.84,0.4243,NFHS-5,2021
IN-RJ-rajsamand,33.9,98.9,59.9,0.3882,NFHS-5,2021
IN-RJ-sawai-madhopur,28.3,95.5,55.18,0.3005,NFHS-5,2021
IN-RJ-sikar,41.4,99.2,64.52,0.4742,NFHS-5,2021
IN-RJ-sirohi,25.7,93.9,52.98,0.2596,NFHS-5,2021
IN-RJ-tonk,27.3,97.8,55.5,0.3064,NFHS-5,2021
IN-RJ-udaipur,30.1,98.1,57.3,0.3399,NFHS-5,2021
IN-TN-ariyalur,50.7,98.2,69.7,0.5705,NFHS-5,2021
IN-TN-chennai,76.7,99.9,85.98,0.8732,NFHS-5,2021
IN-TN-coimbatore,62.8,99.4,77.44,0.7144,NFHS-5,2021
IN-TN-cuddalore,50.1,99.2,69.74,0.5712,NFHS-5,2021
IN-TN-dharmapuri,54.4,99.4,72.4,0.6207,NFHS-5,2021
IN-TN-dindigul,50.1,98.8,69.58,0.5682,NFHS-5,2021
IN-TN-erode,57.8,99.6,74.52,0.6601,NFHS-5,2021
IN-TN-kancheepuram,56.8,99.4,73.84,0.6475,NFHS-5,2021
IN-TN-kanniyakumari,77.1,99.8,86.18,0.8769,NFHS-5,2021
IN-TN-karur,51.2,98.7,70.2,0.5798,NFHS-5,2021
IN-TN-madurai,58.6,98.9,74.72,0.6638,NFHS-5,2021
IN-TN-nagapattinam,53.7,99.0,71.82,0.6099,NFHS-5,2021
IN-TN-namakkal,55.7,99.2,73.1,0.6337,NFHS-5,2021
IN-TN-perambalur,49.0,99.1,69.04,0.5582,NFHS-5,2021
IN-TN-pudukkottai,52.2,98.9,70.88,0.5924,NFHS-5,2021
IN-TN-ramanathapuram,53.7,99.3,71.94,0.6121,NFHS-5,2021
IN-TN-salem,51.3,99.5,70.58,0.5868,NFHS-5,2021
IN-TN-sivaganga,59.9,99.4,75.7,0.682,NFHS-5,2021
IN-TN-thanjavur,54.3,98.8,72.1,0.6151,NFHS-5,2021
IN-TN-theni,56.9,99.4,73.9,0.6486,NFHS-5,2021
IN-TN-thiruvallur,57.2,99.8,74.24,0.6549,NFHS-5,2021
IN-TN-thiruvarur,57.5,98.6,73.94,0.6493,NFHS-5,2021
IN-TN-thoothukudi,59.5,100.0,75.7,0.682,NFHS-5,2021
IN-TN-tiruchchirappalli,57.1,99.0,73.86,0.6478,NFHS-5,2021
IN-TN-tiruvannamalai,50.2,99.0,69.72,0.5708,NFHS-5,2021
IN-TN-vellore,52.5,99.3,71.22,0.5987,NFHS-5,2021
IN-TN-villupuram,45.7,99.7,67.3,0.5258,NFHS-5,2021
IN-TN-virudhunagar,53.5,99.5,71.9,0.6114,NFHS-5,2021
IN-TR-dhalai,13.9,97.7,47.42,0.1562,NFHS-5,2021
IN-TR-north-tripura,23.7,96.2,52.7,0.2544,NFHS-5,2021
IN-TR-south-tripura,21.6,95.9,51.32,0.2287,NFHS-5,2021
IN-TR-west-tripura,30.9,99.8,58.46,0.3615,NFHS-5,2021
IN-UP-agra,36.1,99.1,61.3,0.4143,NFHS-5,2021
IN-UP-aligarh,37.5,95.3,60.62,0.4016,NFHS-5,2021
IN-UP-ambedkar-nagar,53.0,94.2,69.48,0.5664,NFHS-5,2021
IN-UP-auraiya,46.2,94.0,65.32,0.489,NFHS-5,2021
IN-UP-azamgarh,52.6,96.5,70.16,0.579,NFHS-5,2021
IN-UP-baghpat,44.0,98.5,65.8,0.498,NFHS-5,2021
IN-UP-bahraich,14.4,77.8,39.76,0.0138,NFHS-5,2021
IN-UP-ballia,50.1,89.1,65.7,0.4961,NFHS-5,2021
IN-UP-balrampur,16.8,78.4,41.44,0.045,NFHS-5,2021
IN-UP-banda,27.1,89.2,51.94,0.2402,NFHS-5,2021
IN-UP-bara-banki,29.5,74.8,47.62,0.1599,NFHS-5,2021
IN-UP-bareilly,22.1,92.5,50.26,0.209,NFHS-5,2021
IN-UP-basti,40.9,94.6,62.38,0.4344,NFHS-5,2021
IN-UP-bijnor,39.7,96.1,62.26,0.4321,NFHS-5,2021
IN-UP-bulandshahr,37.8,96.3,61.2,0.4124,NFHS-5,2021
IN-UP-chandauli,47.2,91.9,65.08,0.4846,NFHS-5,2021
IN-UP-chitrakoot,30.2,92.0,54.92,0.2956,NFHS-5,2021
IN-UP-deoria,50.4,95.3,68.36,0.5456,NFHS-5,2021
IN-UP-etah,38.8,88.0,58.48,0.3618,NFHS-5,2021
IN-UP-etawah,45.7,95.7,65.7,0.4961,NFHS-5,2021
IN-UP-faizabad,49.0,90.3,65.52,0.4927,NFHS-5,2021
IN-UP-farrukhabad,33.3,91.8,56.7,0.3287,NFHS-5,2021
IN-UP-fatehpur,37.3,76.8,53.1,0.2618,NFHS-5,2021
IN-UP-firozabad,42.4,96.3,63.96,0.4637,NFHS-5,2021
IN-UP-gautam-buddha-nagar,51.9,99.4,70.9,0.5928,NFHS-5,2021
IN-UP-ghaziabad,55.2,99.9,73.08,0.6333,NFHS-5,2021
IN-UP-ghazipur,51.4,91.8,67.56,0.5307,NFHS-5,2021
IN-UP-gonda,31.5,88.9,54.46,0.2871,NFHS-5,2021
IN-UP-gorakhpur,42.8,94.9,63.64,0.4578,NFHS-5,2021
IN-UP-hamirpur,37.6,94.6,60.4,0.3975,NFHS-5,2021
IN-UP-hardoi,26.5,71.0,44.3,0.0982,NFHS-5,2021
IN-UP-jalaun,38.9,96.9,62.1,0.4292,NFHS-5,2021
IN-UP-jaunpur,52.7,98.2,70.9,0.5928,NFHS-5,2021
IN-UP-jhansi,43.3,95.2,64.06,0.4656,NFHS-5,2021
IN-UP-jyotiba-phule-nagar,35.4,96.4,59.8,0.3864,NFHS-5,2021
IN-UP-kannauj,37.3,87.3,57.3,0.3399,NFHS-5,2021
IN-UP-kanpur-dehat,45.4,79.8,59.16,0.3745,NFHS-5,2021
IN-UP-kaushambi,31.9,78.7,50.62,0.2157,NFHS-5,2021
IN-UP-kushinagar,34.1,91.5,57.06,0.3354,NFHS-5,2021
IN-UP-lalitpur,23.8,94.1,51.92,0.2399,NFHS-5,2021
IN-UP-lucknow,51.9,96.8,69.86,0.5734,NFHS-5,2021
IN-UP-maharajganj,30.7,95.9,56.78,0.3302,NFHS-5,2021
IN-UP-mahoba,33.8,94.8,58.2,0.3566,NFHS-5,2021
IN-UP-mainpuri,45.8,95.2,65.56,0.4935,NFHS-5,2021
IN-UP-mathura,34.7,98.2,60.1,0.392,NFHS-5,2021
IN-UP-mau,53.1,94.2,69.54,0.5675,NFHS-5,2021
IN-UP-meerut,47.3,98.6,67.82,0.5355,NFHS-5,2021
IN-UP-mirzapur,43.8,92.7,63.36,0.4526,NFHS-5,2021
IN-UP-moradabad,42.6,96.0,63.96,0.4637,NFHS-5,2021
IN-UP-muzaffarnagar,41.8,97.8,64.2,0.4682,NFHS-5,2021
IN-UP-pilibhit,28.5,86.8,51.82,0.238,NFHS-5,2021
IN-UP-pratapgarh,49.7,92.5,66.82,0.5169,NFHS-5,2021
IN-UP-rae-bareli,36.1,88.9,57.22,0.3384,NFHS-5,2021
IN-UP-rampur,26.9,96.2,54.62,0.2901,NFHS-5,2021
IN-UP-saharanpur,38.2,98.3,62.24,0.4318,NFHS-5,2021
IN-UP-sant-kabir-nagar,34.8,94.0,58.48,0.3618,NFHS-5,2021
IN-UP-shahjahanpur,27.7,84.1,50.26,0.209,NFHS-5,2021
IN-UP-shravasti,15.9,73.7,39.02,0.0,NFHS-5,2021
IN-UP-siddharth-nagar,17.0,90.7,46.48,0.1387,NFHS-5,2021
IN-UP-sitapur,23.9,68.4,41.7,0.0498,NFHS-5,2021
IN-UP-sonbhadra,35.7,82.9,54.58,0.2893,NFHS-5,2021
IN-UP-sultanpur,46.6,94.3,65.68,0.4957,NFHS-5,2021
IN-UP-unnao,37.0,75.4,52.36,0.248,NFHS-5,2021
IN-UP-varanasi,55.0,97.2,71.88,0.611,NFHS-5,2021
IN-UT-almora,48.0,99.9,68.76,0.553,NFHS-5,2021
IN-UT-bageshwar,52.2,99.8,71.24,0.5991,NFHS-5,2021
IN-UT-chamoli,59.0,99.5,75.2,0.6727,NFHS-5,2021
IN-UT-champawat,51.0,99.6,70.44,0.5842,NFHS-5,2021
IN-UT-dehra-dun,62.6,99.7,77.44,0.7144,NFHS-5,2021
IN-UT-haridwar,40.3,99.7,64.06,0.4656,NFHS-5,2021
IN-UT-naini-tal,55.2,99.1,72.76,0.6274,NFHS-5,2021
IN-UT-pauri-garhwal,56.2,99.4,73.48,0.6408,NFHS-5,2021
IN-UT-pithoragarh,55.5,99.6,73.14,0.6344,NFHS-5,2021
IN-UT-rudra-prayag,56.4,99.5,73.64,0.6437,NFHS-5,2021
IN-UT-tehri-garhwal,50.8,99.9,70.44,0.5842,NFHS-5,2021
IN-UT-udham-singh-nagar,41.1,99.6,64.5,0.4738,NFHS-5,2021
IN-UT-uttarkashi,53.6,99.6,72.0,0.6132,NFHS-5,2021
IN-WB-bankura,27.9,92.3,53.66,0.2722,NFHS-5,2021
IN-WB-birbhum,25.8,97.8,54.6,0.2897,NFHS-5,2021
IN-WB-dakshin-dinajpur,30.5,96.5,56.9,0.3325,NFHS-5,2021
IN-WB-haora,40.1,99.0,63.66,0.4582,NFHS-5,2021
IN-WB-hugli,37.0,98.4,61.56,0.4191,NFHS-5,2021
IN-WB-jalpaiguri,33.9,97.4,59.3,0.3771,NFHS-5,2021
IN-WB-kochbihar,26.7,98.2,55.3,0.3027,NFHS-5,2021
IN-WB-kolkata,55.4,99.6,73.08,0.6333,NFHS-5,2021
IN-WB-maldah,30.0,98.1,57.24,0.3388,NFHS-5,2021
IN-WB-murshidabad,24.2,96.7,53.2,0.2637,NFHS-5,2021
IN-WB-nadia,28.3,98.2,56.26,0.3206,NFHS-5,2021
IN-WB-puruliya,26.9,88.6,51.58,0.2335,NFHS-5,2021
IN-WB-uttar-dinajpur,29.3,96.9,56.34,0.3221,NFHS-5,2021
