admin_unit_code,name,state,admin_level,census_state_code,census_district_code,has_deficit_data,match_method
IN-MH-yavatmal,Yavatmal,Maharashtra,level-2,27,14,true,census_code
IN-NL-zunheboto,Zunheboto,Nagaland,level-2,13,3,true,census_code
IN-CT-kabeerdham,Kabeerdham,Chhattisgarh,level-2,22,8,true,census_code
IN-HR-yamunanagar,Yamunanagar,Haryana,level-2,6,3,true,census_code
IN-HR-jind,Jind,Haryana,level-2,6,9,true,census_code
IN-RJ-dausa,Dausa,Rajasthan,level-2,8,11,true,census_code
IN-RJ-karauli,Karauli,Rajasthan,level-2,8,9,true,census_code
IN-RJ-sawai-madhopur,Sawai Madhopur,Rajasthan,level-2,8,10,true,census_code
IN-BR-arwal,Arwal,Bihar,level-2,10,38,true,census_code
IN-BR-jehanabad,Jehanabad,Bihar,level-2,10,37,true,census_code
IN-TN-nagappattinam,Nagappattinam,Tamil Nadu,level-2,33,17,true,census_code
IN-PY-karaikal,Karaikal,Puducherry,level-2,34,4,true,census_code
IN-PY-puducherry,Puducherry,Puducherry,level-2,34,2,true,census_code
IN-PY-yanam,Yanam,Puducherry,level-2,34,1,true,census_code
IN-GJ-tapi,Tapi,Gujarat,level-2,24,26,true,census_code
IN-AN-nicobar,Nicobar,Andaman & Nicobar Island,level-2,35,1,true,census_code
IN-AN-south-andaman,South Andaman,Andaman & Nicobar Island,level-2,35,3,true,census_code
IN-AN-north-middle-andaman,North & Middle Andaman,Andaman & Nicobar Island,level-2,35,2,true,census_code
IN-LD-lakshadweep,Lakshadweep,Lakshadweep,level-2,31,1,true,census_code
