admin_unit_code,name,state,admin_level,census_state_code,census_district_code,has_deficit_data,match_method
IN-JH-jamtara,Jamtara,Jharkhand,level-2,20,18,true,census_code
IN-BR-jamui,Jamui,Bihar,level-2,10,36,true,census_code
IN-CT-janjgir-champa,Janjgir-champa,Chhattisgarh,level-2,22,6,true,census_code
IN-CT-jashpur,Jashpur,Chhattisgarh,level-2,22,3,true,census_code
IN-UP-jaunpur,Jaunpur,Uttar Pradesh,level-2,9,63,true,census_code
IN-MP-jhabua,Jhabua,Madhya Pradesh,level-2,23,47,true,census_code
IN-HR-jhajjar,Jhajjar,Haryana,level-2,6,15,true,census_code
IN-RJ-jhalawar,Jhalawar,Rajasthan,level-2,8,31,true,census_code
IN-UP-jhansi,Jhansi,Uttar Pradesh,level-2,9,35,true,census_code
IN-OR-jharsuguda,Jharsuguda,Odisha,level-2,21,2,true,census_code
IN-RJ-jhunjhunun,Jhunjhunun,Rajasthan,level-2,8,5,true,census_code
IN-RJ-jodhpur,Jodhpur,Rajasthan,level-2,8,15,true,census_code
IN-AS-jorhat,Jorhat,Assam,level-2,18,13,true,census_code
IN-GJ-junagadh,Junagadh,Gujarat,level-2,24,12,true,census_code
IN-UP-jyotiba-phule-nagar,Jyotiba Phule Nagar,Uttar Pradesh,level-2,9,6,true,census_code
IN-GJ-kachchh,Kachchh,Gujarat,level-2,24,1,true,census_code
IN-BR-kaimur-bhabua,Kaimur (bhabua),Bihar,level-2,10,31,true,census_code
IN-HR-kaithal,Kaithal,Haryana,level-2,6,5,true,census_code
IN-OR-kalahandi,Kalahandi,Odisha,level-2,21,26,true,census_code
IN-AS-kamrup,Kamrup,Assam,level-2,18,22,true,census_code
IN-AS-kamrup-metropolitan,Kamrup Metropolitan,Assam,level-2,18,23,true,census_code
IN-TN-kancheepuram,Kancheepuram,Tamil Nadu,level-2,33,3,true,census_code
IN-OR-kandhamal,Kandhamal,Odisha,level-2,21,21,true,census_code
IN-HP-kangra,Kangra,Himachal Pradesh,level-2,2,2,true,census_code
IN-CT-uttar-bastar-kanker,Uttar Bastar Kanker,Chhattisgarh,level-2,22,14,true,census_code
IN-UP-kannauj,Kannauj,Uttar Pradesh,level-2,9,29,true,census_code
IN-TN-kanniyakumari,Kanniyakumari,Tamil Nadu,level-2,33,28,true,census_code
IN-KL-kannur,Kannur,Kerala,level-2,32,2,true,census_code
IN-UP-kanpur-dehat,Kanpur Dehat,Uttar Pradesh,level-2,9,32,true,census_code
IN-UP-kanpur-nagar,Kanpur Nagar,Uttar Pradesh,level-2,9,33,true,census_code
IN-UP-kansiram-nagar,Kansiram Nagar,Uttar Pradesh,level-2,9,71,true,census_code
IN-PB-kapurthala,Kapurthala,Punjab,level-2,3,2,true,census_code
IN-AS-karbi-anglong,Karbi Anglong,Assam,level-2,18,15,true,census_code
IN-JK-kargil,Kargil,Jammu & Kashmir,level-2,1,4,true,census_code
IN-AS-karimganj,Karimganj,Assam,level-2,18,18,true,census_code
IN-AP-karimnagar,Karimnagar,Andhra Pradesh,level-2,28,3,true,census_code
IN-HR-karnal,Karnal,Haryana,level-2,6,6,true,census_code
IN-TN-karur,Karur,Tamil Nadu,level-2,33,12,true,census_code
IN-KL-kasaragod,Kasaragod,Kerala,level-2,32,1,true,census_code
IN-JK-kathua,Kathua,Jammu & Kashmir,level-2,1,7,true,census_code
IN-BR-katihar,Katihar,Bihar,level-2,10,10,true,census_code
IN-MP-katni,Katni,Madhya Pradesh,level-2,23,33,true,census_code
IN-UP-kaushambi,Kaushambi,Uttar Pradesh,level-2,9,43,true,census_code
IN-OR-kendrapara,Kendrapara,Odisha,level-2,21,10,true,census_code
IN-OR-kendujhar,Kendujhar,Odisha,level-2,21,6,true,census_code
IN-BR-khagaria,Khagaria,Bihar,level-2,10,21,true,census_code
IN-AP-khammam,Khammam,Andhra Pradesh,level-2,28,10,true,census_code
IN-GJ-kheda,Kheda,Gujarat,level-2,24,16,true,census_code
IN-UP-kheri,Kheri,Uttar Pradesh,level-2,9,22,true,census_code
IN-OR-khordha,Khordha,Odisha,level-2,21,17,true,census_code
IN-JH-khunti,Khunti,Jharkhand,level-2,20,20,true,census_code
IN-HP-kinnaur,Kinnaur,Himachal Pradesh,level-2,2,12,true,census_code
IN-NL-kiphire,Kiphire,Nagaland,level-2,13,9,true,census_code
IN-BR-kishanganj,Kishanganj,Bihar,level-2,10,8,true,census_code
IN-JK-kishtwar,Kishtwar,Jammu & Kashmir,level-2,1,18,true,census_code
IN-WB-koch-bihar,Koch Bihar,West Bengal,level-2,19,3,true,census_code
IN-KA-kodagu,Kodagu,Karnataka,level-2,29,22,true,census_code
IN-JH-kodarma,Kodarma,Jharkhand,level-2,20,3,true,census_code
IN-NL-kohima,Kohima,Nagaland,level-2,13,10,true,census_code
IN-AS-kokrajhar,Kokrajhar,Assam,level-2,18,1,true,census_code
IN-KA-kolar,Kolar,Karnataka,level-2,29,27,true,census_code
IN-MZ-kolasib,Kolasib,Mizoram,level-2,15,2,true,census_code
IN-MH-kolhapur,Kolhapur,Maharashtra,level-2,27,34,true,census_code
IN-WB-kolkata,Kolkata,West Bengal,level-2,19,16,true,census_code
IN-KL-kollam,Kollam,Kerala,level-2,32,13,true,census_code
IN-KA-koppal,Koppal,Karnataka,level-2,29,6,true,census_code
IN-OR-koraput,Koraput,Odisha,level-2,21,29,true,census_code
IN-CT-korba,Korba,Chhattisgarh,level-2,22,5,true,census_code
IN-CT-koriya,Koriya,Chhattisgarh,level-2,22,1,true,census_code
IN-RJ-kota,Kota,Rajasthan,level-2,8,29,true,census_code
IN-KL-kottayam,Kottayam,Kerala,level-2,32,10,true,census_code
IN-KL-kozhikode,Kozhikode,Kerala,level-2,32,4,true,census_code
IN-AP-krishna,Krishna,Andhra Pradesh,level-2,28,6,true,exact_state_district
IN-TN-krishnagiri,Krishnagiri,Tamil Nadu,level-2,33,30,true,census_code
IN-JK-kulgam,Kulgam,Jammu & Kashmir,level-2,1,15,true,census_code
IN-HP-kullu,Kullu,Himachal Pradesh,level-2,2,4,true,census_code
IN-JK-kupwara,Kupwara,Jammu & Kashmir,level-2,1,1,true,census_code
IN-AP-kurnool,Kurnool,Andhra Pradesh,level-2,28,11,true,exact_state_district
IN-HR-kurukshetra,Kurukshetra,Haryana,level-2,6,4,true,census_code
IN-AR-kurung-kumey,Kurung Kumey,Arunanchal Pradesh,level-2,12,12,true,census_code
IN-UP-kushinagar,Kushinagar,Uttar Pradesh,level-2,9,58,true,census_code
IN-HP-lahul-spiti,Lahul & Spiti,Himachal Pradesh,level-2,2,3,true,census_code
IN-AS-lakhimpur,Lakhimpur,Assam,level-2,18,8,true,census_code
IN-BR-lakhisarai,Lakhisarai,Bihar,level-2,10,25,true,census_code
IN-UP-lalitpur,Lalitpur,Uttar Pradesh,level-2,9,36,true,census_code
IN-JH-latehar,Latehar,Jharkhand,level-2,20,14,true,census_code
IN-MH-latur,Latur,Maharashtra,level-2,27,28,true,census_code
IN-MZ-lawangtlai,Lawangtlai,Mizoram,level-2,15,7,true,census_code
IN-JK-leh-ladakh,Leh (ladakh),Jammu & Kashmir,level-2,1,3,true,census_code
IN-JH-lohardaga,Lohardaga,Jharkhand,level-2,20,11,true,census_code
IN-AR-lohit,Lohit,Arunanchal Pradesh,level-2,12,15,true,census_code
IN-NL-longleng,Longleng,Nagaland,level-2,13,8,true,census_code
IN-AR-lower-dibang-valley,Lower Dibang Valley,Arunanchal Pradesh,level-2,12,14,true,census_code
IN-AR-lower-subansiri,Lower Subansiri,Arunanchal Pradesh,level-2,12,11,true,census_code
IN-UP-lucknow,Lucknow,Uttar Pradesh,level-2,9,26,true,census_code
IN-PB-ludhiana,Ludhiana,Punjab,level-2,3,7,true,census_code
IN-MZ-lunglei,Lunglei,Mizoram,level-2,15,6,true,census_code
IN-BR-madhepura,Madhepura,Bihar,level-2,10,11,true,census_code
IN-BR-madhubani,Madhubani,Bihar,level-2,10,5,true,census_code
IN-TN-madurai,Madurai,Tamil Nadu,level-2,33,22,true,census_code
IN-UP-maharajganj,Maharajganj,Uttar Pradesh,level-2,9,56,true,census_code
IN-CT-mahasamund,Mahasamund,Chhattisgarh,level-2,22,12,true,census_code
IN-AP-mahbubnagar,Mahbubnagar,Andhra Pradesh,level-2,28,7,true,census_code
IN-PY-mahe,Mahe,Puducherry,level-2,34,3,true,census_code
IN-HR-mahendragarh,Mahendragarh,Haryana,level-2,6,16,true,census_code
IN-GJ-mahesana,Mahesana,Gujarat,level-2,24,4,true,census_code
IN-UP-mahoba,Mahoba,Uttar Pradesh,level-2,9,38,true,census_code
IN-UP-mainpuri,Mainpuri,Uttar Pradesh,level-2,9,17,true,census_code
IN-KL-malappuram,Malappuram,Kerala,level-2,32,5,true,census_code
IN-WB-maldah,Maldah,West Bengal,level-2,19,6,true,census_code
IN-OR-malkangiri,Malkangiri,Odisha,level-2,21,30,true,census_code
IN-MZ-mamit,Mamit,Mizoram,level-2,15,1,true,census_code
IN-HP-mandi,Mandi,Himachal Pradesh,level-2,2,5,true,census_code
IN-MP-mandla,Mandla,Madhya Pradesh,level-2,23,37,true,census_code
IN-MP-mandsaur,Mandsaur,Madhya Pradesh,level-2,23,16,true,census_code
IN-KA-mandya,Mandya,Karnataka,level-2,29,19,true,census_code
IN-PB-mansa,Mansa,Punjab,level-2,3,13,true,census_code
IN-AS-marigaon,Marigaon,Assam,level-2,18,5,true,census_code
IN-UP-mathura,Mathura,Uttar Pradesh,level-2,9,14,true,census_code
IN-UP-mau,Mau,Uttar Pradesh,level-2,9,61,true,census_code
IN-OR-mayurbhanj,Mayurbhanj,Odisha,level-2,21,7,true,census_code
IN-AP-medak,Medak,Andhra Pradesh,level-2,28,4,true,census_code
IN-UP-meerut,Meerut,Uttar Pradesh,level-2,9,7,true,census_code
IN-HR-mewat,Mewat,Haryana,level-2,6,19,true,census_code
IN-UP-mirzapur,Mirzapur,Uttar Pradesh,level-2,9,68,true,census_code
IN-PB-moga,Moga,Punjab,level-2,3,8,true,census_code
IN-NL-mokokchung,Mokokchung,Nagaland,level-2,13,2,true,census_code
IN-NL-mon,Mon,Nagaland,level-2,13,1,true,census_code
IN-UP-moradabad,Moradabad,Uttar Pradesh,level-2,9,4,true,census_code
IN-MP-morena,Morena,Madhya Pradesh,level-2,23,2,true,census_code
IN-PB-muktsar,Muktsar,Punjab,level-2,3,10,true,census_code
IN-MH-mumbai,Mumbai,Maharashtra,level-2,27,23,true,census_code
IN-MH-mumbai-suburban,Mumbai Suburban,Maharashtra,level-2,27,22,true,census_code
IN-BR-munger,Munger,Bihar,level-2,10,24,true,census_code
IN-WB-murshidabad,Murshidabad,West Bengal,level-2,19,7,true,census_code
IN-UP-muzaffarnagar,Muzaffarnagar,Uttar Pradesh,level-2,9,2,true,census_code
IN-BR-muzaffarpur,Muzaffarpur,Bihar,level-2,10,14,true,census_code
IN-KA-mysore,Mysore,Karnataka,level-2,29,23,true,census_code
IN-OR-nabarangapur,Nabarangapur,Odisha,level-2,21,28,true,census_code
IN-WB-nadia,Nadia,West Bengal,level-2,19,10,true,census_code
IN-AS-nagaon,Nagaon,Assam,level-2,18,6,true,census_code
IN-RJ-nagaur,Nagaur,Rajasthan,level-2,8,14,true,census_code
IN-MH-nagpur,Nagpur,Maharashtra,level-2,27,9,true,census_code
IN-UT-nainital,Nainital,Uttarakhand,level-2,5,11,true,census_code
IN-BR-nalanda,Nalanda,Bihar,level-2,10,27,true,census_code
IN-AS-nalbari,Nalbari,Assam,level-2,18,24,true,census_code
IN-AP-nalgonda,Nalgonda,Andhra Pradesh,level-2,28,8,true,census_code
IN-TN-namakkal,Namakkal,Tamil Nadu,level-2,33,8,true,census_code
IN-MH-nanded,Nanded,Maharashtra,level-2,27,15,true,census_code
IN-MH-nandurbar,Nandurbar,Maharashtra,level-2,27,1,true,census_code
IN-CT-narayanpur,Narayanpur,Chhattisgarh,level-2,22,16,true,census_code
IN-GJ-narmada,Narmada,Gujarat,level-2,24,20,true,census_code
IN-MP-narsimhapur,Narsimhapur,Madhya Pradesh,level-2,23,35,true,census_code
IN-MH-nashik,Nashik,Maharashtra,level-2,27,20,true,census_code
IN-GJ-navsari,Navsari,Gujarat,level-2,24,23,true,census_code
IN-BR-nawada,Nawada,Bihar,level-2,10,35,true,census_code
IN-OR-nayagarh,Nayagarh,Odisha,level-2,21,16,true,census_code
IN-MP-neemuch,Neemuch,Madhya Pradesh,level-2,23,15,true,census_code
IN-AP-sri-potti-sriramulu-nellore,Sri Potti Sriramulu Nellore,Andhra Pradesh,level-2,28,9,true,exact_state_district
IN-DL-new-delhi,New Delhi,NCT of Delhi,level-2,7,5,true,census_code
IN-AP-nizamabad,Nizamabad,Andhra Pradesh,level-2,28,2,true,census_code
IN-DL-north,North,NCT of Delhi,level-2,7,2,true,census_code
IN-SK-north,North,Sikkim,level-2,11,1,true,census_code
IN-WB-north-24-parganas,North 24 Parganas,West Bengal,level-2,19,11,true,census_code
IN-AS-dima-hasao,Dima Hasao,Assam,level-2,18,16,true,census_code
IN-DL-north-east,North East,NCT of Delhi,level-2,7,3,true,census_code
IN-GA-north-goa,North Goa,Goa,level-2,30,1,true,census_code
IN-TR-north-tripura,North Tripura,Tripura,level-2,16,4,true,census_code
IN-DL-north-west,North West,NCT of Delhi,level-2,7,1,true,census_code
IN-OR-nuapada,Nuapada,Odisha,level-2,21,25,true,census_code
IN-MH-osmanabad,Osmanabad,Maharashtra,level-2,27,29,true,census_code
IN-JH-pakur,Pakur,Jharkhand,level-2,20,8,true,census_code
IN-KL-palakkad,Palakkad,Kerala,level-2,32,6,true,census_code
IN-JH-palamu,Palamu,Jharkhand,level-2,20,13,true,census_code
IN-RJ-pali,Pali,Rajasthan,level-2,8,20,true,census_code
IN-HR-palwal,Palwal,Haryana,level-2,6,21,true,census_code
IN-GJ-panch-mahals,Panch Mahals,Gujarat,level-2,24,17,true,census_code
IN-HR-panchkula,Panchkula,Haryana,level-2,6,1,true,census_code
IN-HR-panipat,Panipat,Haryana,level-2,6,7,true,census_code
IN-MP-panna,Panna,Madhya Pradesh,level-2,23,9,true,census_code
IN-AR-papum-pare,Papum Pare,Arunanchal Pradesh,level-2,12,4,true,census_code
IN-MH-parbhani,Parbhani,Maharashtra,level-2,27,17,true,census_code
IN-BR-pashchim-champaran,Pashchim Champaran,Bihar,level-2,10,1,true,census_code
IN-WB-pashchim-medinipur,Pashchim Medinipur,West Bengal,level-2,19,18,true,census_code
IN-JH-pashchimi-singhbhum,Pashchimi Singhbhum,Jharkhand,level-2,20,23,true,census_code
IN-GJ-patan,Patan,Gujarat,level-2,24,3,true,census_code
IN-KL-pathanamthitta,Pathanamthitta,Kerala,level-2,32,12,true,census_code
IN-PB-patiala,Patiala,Punjab,level-2,3,14,true,census_code
IN-BR-patna,Patna,Bihar,level-2,10,28,true,census_code
IN-TN-perambalur,Perambalur,Tamil Nadu,level-2,33,14,true,census_code
IN-NL-peren,Peren,Nagaland,level-2,13,11,true,census_code
IN-NL-phek,Phek,Nagaland,level-2,13,6,true,census_code
IN-UP-pilibhit,Pilibhit,Uttar Pradesh,level-2,9,20,true,census_code
IN-UT-pithoragarh,Pithoragarh,Uttarakhand,level-2,5,7,true,census_code
IN-GJ-porbandar,Porbandar,Gujarat,level-2,24,11,true,census_code
IN-AP-prakasam,Prakasam,Andhra Pradesh,level-2,28,8,true,exact_state_district
IN-RJ-pratapgarh,Pratapgarh,Rajasthan,level-2,8,33,true,census_code
IN-UP-pratapgarh,Pratapgarh,Uttar Pradesh,level-2,9,42,true,census_code
IN-TN-pudukkottai,Pudukkottai,Tamil Nadu,level-2,33,20,true,census_code
IN-JK-pulwama,Pulwama,Jammu & Kashmir,level-2,1,12,true,census_code
IN-JK-punch,Punch,Jammu & Kashmir,level-2,1,5,true,census_code
IN-MH-pune,Pune,Maharashtra,level-2,27,25,true,census_code
IN-BR-purba-champaran,Purba Champaran,Bihar,level-2,10,2,true,census_code
IN-WB-purba-medinipur,Purba Medinipur,West Bengal,level-2,19,19,true,census_code
IN-JH-purbi-singhbhum,Purbi Singhbhum,Jharkhand,level-2,20,12,true,census_code
IN-OR-puri,Puri,Odisha,level-2,21,18,true,census_code
IN-BR-purnia,Purnia,Bihar,level-2,10,9,true,census_code
IN-WB-puruliya,Puruliya,West Bengal,level-2,19,14,true,census_code
IN-UP-rae-bareli,Rae Bareli,Uttar Pradesh,level-2,9,27,true,census_code
IN-KA-raichur,Raichur,Karnataka,level-2,29,5,true,census_code
IN-CT-raigarh,Raigarh,Chhattisgarh,level-2,22,4,true,census_code
IN-MH-raigarh,Raigarh,Maharashtra,level-2,27,24,true,census_code
IN-CT-raipur,Raipur,Chhattisgarh,level-2,22,11,true,census_code
IN-MP-raisen,Raisen,Madhya Pradesh,level-2,23,29,true,census_code
IN-JK-rajouri,Rajouri,Jammu & Kashmir,level-2,1,6,true,census_code
IN-MP-rajgarh,Rajgarh,Madhya Pradesh,level-2,23,25,true,census_code
IN-GJ-rajkot,Rajkot,Gujarat,level-2,24,9,true,census_code
IN-CT-rajnandgaon,Rajnandgaon,Chhattisgarh,level-2,22,9,true,census_code
IN-RJ-rajsamand,Rajsamand,Rajasthan,level-2,8,25,true,census_code
IN-KA-ramanagara,Ramanagara,Karnataka,level-2,29,30,true,census_code
IN-TN-ramanathapuram,Ramanathapuram,Tamil Nadu,level-2,33,25,true,census_code
IN-JK-ramban,Ramban,Jammu & Kashmir,level-2,1,17,true,census_code
IN-JH-ramgarh,Ramgarh,Jharkhand,level-2,20,16,true,census_code
IN-UP-rampur,Rampur,Uttar Pradesh,level-2,9,5,true,census_code
IN-JH-ranchi,Ranchi,Jharkhand,level-2,20,19,true,census_code
IN-AP-rangareddy,Rangareddy,Andhra Pradesh,level-2,28,6,true,census_code
IN-MP-ratlam,Ratlam,Madhya Pradesh,level-2,23,17,true,census_code
IN-MH-ratnagiri,Ratnagiri,Maharashtra,level-2,27,32,true,census_code
IN-OR-rayagada,Rayagada,Odisha,level-2,21,27,true,census_code
IN-JK-reasi,Reasi,Jammu & Kashmir,level-2,1,20,true,census_code
IN-MP-rewa,Rewa,Madhya Pradesh,level-2,23,13,true,census_code
IN-HR-rewari,Rewari,Haryana,level-2,6,17,true,census_code
IN-ML-ri-bhoi,Ri Bhoi,Meghalaya,level-2,17,5,true,census_code
IN-HR-rohtak,Rohtak,Haryana,level-2,6,14,true,census_code
IN-BR-rohtas,Rohtas,Bihar,level-2,10,32,true,census_code
IN-UT-rudraprayag,Rudraprayag,Uttarakhand,level-2,5,3,true,census_code
IN-PB-rupnagar,Rupnagar,Punjab,level-2,3,17,true,census_code
IN-GJ-sabar-kantha,Sabar Kantha,Gujarat,level-2,24,5,true,census_code
IN-MP-sagar,Sagar,Madhya Pradesh,level-2,23,10,true,census_code
IN-UP-saharanpur,Saharanpur,Uttar Pradesh,level-2,9,1,true,census_code
IN-BR-saharsa,Saharsa,Bihar,level-2,10,12,true,census_code
IN-JH-sahibganj,Sahibganj,Jharkhand,level-2,20,7,true,census_code
IN-PB-sahibzada-ajit-singh-nagar,Sahibzada Ajit Singh Nagar,Punjab,level-2,3,18,true,census_code
IN-MZ-saiha,Saiha,Mizoram,level-2,15,8,true,census_code
IN-TN-salem,Salem,Tamil Nadu,level-2,33,7,true,census_code
IN-BR-samastipur,Samastipur,Bihar,level-2,10,19,true,census_code
IN-JK-samba,Samba,Jammu & Kashmir,level-2,1,22,true,census_code
IN-OR-sambalpur,Sambalpur,Odisha,level-2,21,3,true,census_code
IN-MH-sangli,Sangli,Maharashtra,level-2,27,35,true,census_code
IN-PB-sangrur,Sangrur,Punjab,level-2,3,19,true,census_code
IN-UP-sant-kabir-nagar,Sant Kabir Nagar,Uttar Pradesh,level-2,9,55,true,census_code
IN-UP-sant-ravi-das-nagar-bhadohi,Sant Ravi Das Nagar(bhadohi),Uttar Pradesh,level-2,9,67,true,census_code
IN-JH-saraikela-kharsawan,Saraikela-kharsawan,Jharkhand,level-2,,,false,unmatched
IN-BR-saran-chhapra,Saran (chhapra),Bihar,level-2,10,17,true,census_code
IN-MH-satara,Satara,Maharashtra,level-2,27,31,true,census_code
IN-MP-satna,Satna,Madhya Pradesh,level-2,23,12,true,census_code
IN-MP-sehore,Sehore,Madhya Pradesh,level-2,23,28,true,census_code
IN-MN-senapati,Senapati,Manipur,level-2,14,1,true,census_code
IN-MP-seoni,Seoni,Madhya Pradesh,level-2,23,39,true,census_code
IN-MZ-serchhip,Serchhip,Mizoram,level-2,15,5,true,census_code
IN-MP-shahdol,Shahdol,Madhya Pradesh,level-2,23,43,true,census_code
IN-PB-shahid-bhagat-singh-nagar,Shahid Bhagat Singh Nagar,Punjab,level-2,3,5,true,census_code
IN-UP-shahjahanpur,Shahjahanpur,Uttar Pradesh,level-2,9,21,true,census_code
IN-MP-shajapur,Shajapur,Madhya Pradesh,level-2,23,19,true,census_code
IN-BR-sheikhpura,Sheikhpura,Bihar,level-2,10,26,true,census_code
IN-BR-sheohar,Sheohar,Bihar,level-2,10,3,true,census_code
IN-MP-sheopur,Sheopur,Madhya Pradesh,level-2,23,1,true,census_code
IN-HP-shimla,Shimla,Himachal Pradesh,level-2,2,11,true,census_code
IN-KA-shimoga,Shimoga,Karnataka,level-2,29,14,true,census_code
IN-MP-shivpuri,Shivpuri,Madhya Pradesh,level-2,23,6,true,census_code
IN-UP-shrawasti,Shrawasti,Uttar Pradesh,level-2,9,50,true,census_code
IN-JK-shupiyan,Shupiyan,Jammu & Kashmir,level-2,1,13,true,census_code
IN-AS-sivasagar,Sivasagar,Assam,level-2,18,12,true,census_code
IN-UP-siddharth-nagar,Siddharth Nagar,Uttar Pradesh,level-2,9,53,true,census_code
IN-MP-sidhi,Sidhi,Madhya Pradesh,level-2,23,45,true,census_code
IN-RJ-sikar,Sikar,Rajasthan,level-2,8,13,true,census_code
IN-JH-simdega,Simdega,Jharkhand,level-2,20,22,true,census_code
IN-MH-sindhudurg,Sindhudurg,Maharashtra,level-2,27,33,true,census_code
IN-MP-singrauli,Singrauli,Madhya Pradesh,level-2,23,46,true,census_code
IN-HP-sirmaur,Sirmaur,Himachal Pradesh,level-2,2,10,true,census_code
IN-RJ-sirohi,Sirohi,Rajasthan,level-2,8,19,true,census_code
IN-HR-sirsa,Sirsa,Haryana,level-2,6,11,true,census_code
IN-BR-sitamarhi,Sitamarhi,Bihar,level-2,10,4,true,census_code
IN-UP-sitapur,Sitapur,Uttar Pradesh,level-2,9,23,true,census_code
IN-TN-sivaganga,Sivaganga,Tamil Nadu,level-2,33,21,true,census_code
IN-BR-siwan,Siwan,Bihar,level-2,10,16,true,census_code
IN-HP-solan,Solan,Himachal Pradesh,level-2,2,9,true,census_code
IN-MH-solapur,Solapur,Maharashtra,level-2,27,30,true,census_code
IN-OR-subarnapur,Subarnapur,Odisha,level-2,21,23,true,census_code
IN-UP-sonbhadra,Sonbhadra,Uttar Pradesh,level-2,9,69,true,census_code
IN-HR-sonipat,Sonipat,Haryana,level-2,6,8,true,census_code
IN-AS-sonitpur,Sonitpur,Assam,level-2,18,7,true,census_code
IN-DL-south,South,NCT of Delhi,level-2,7,9,true,census_code
IN-SK-south,South,Sikkim,level-2,11,3,true,census_code
