admin_unit_code,sector,indicator_key,indicator_label,coverage_pct,deficit_pct,source,year
IN-AP-kurnool,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,73.5,26.5,NFHS-5,2021
IN-AP-kurnool,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,97.9,2.1,NFHS-5,2021
IN-AP-kurnool,electricity,pct_households_no_electricity,Households without an electricity connection,99.9,0.1,NFHS-5,2021
IN-AP-mahbubnagar,health,pct_births_non_institutional,Births not delivered in a health facility,98.1,1.9,NFHS-5,2021
IN-AP-mahbubnagar,education,pct_females_never_attended_school,Females age 6+ who never attended school,54.8,45.2,NFHS-5,2021
IN-AP-mahbubnagar,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,73.7,26.3,NFHS-5,2021
IN-AP-mahbubnagar,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,99.6,0.4,NFHS-5,2021
IN-AP-mahbubnagar,electricity,pct_households_no_electricity,Households without an electricity connection,99.4,0.6,NFHS-5,2021
IN-AP-medak,health,pct_births_non_institutional,Births not delivered in a health facility,98.9,1.1,NFHS-5,2021
IN-AP-medak,education,pct_females_never_attended_school,Females age 6+ who never attended school,52.3,47.7,NFHS-5,2021
IN-AP-medak,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,78.2,21.8,NFHS-5,2021
IN-AP-medak,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,99.9,0.1,NFHS-5,2021
IN-AP-medak,electricity,pct_households_no_electricity,Households without an electricity connection,99.4,0.6,NFHS-5,2021
IN-AP-nalgonda,health,pct_births_non_institutional,Births not delivered in a health facility,98.3,1.7,NFHS-5,2021
IN-AP-nalgonda,education,pct_females_never_attended_school,Females age 6+ who never attended school,59.8,40.2,NFHS-5,2021
IN-AP-nalgonda,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,76.4,23.6,NFHS-5,2021
IN-AP-nalgonda,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,99.2,0.8,NFHS-5,2021
IN-AP-nalgonda,electricity,pct_households_no_electricity,Households without an electricity connection,99.9,0.1,NFHS-5,2021
IN-AP-nizamabad,health,pct_births_non_institutional,Births not delivered in a health facility,97.3,2.7,NFHS-5,2021
IN-AP-nizamabad,education,pct_females_never_attended_school,Females age 6+ who never attended school,54.3,45.7,NFHS-5,2021
IN-AP-nizamabad,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,72.5,27.5,NFHS-5,2021
IN-AP-nizamabad,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,99.4,0.6,NFHS-5,2021
IN-AP-nizamabad,electricity,pct_households_no_electricity,Households without an electricity connection,99.9,0.1,NFHS-5,2021
IN-AP-prakasam,health,pct_births_non_institutional,Births not delivered in a health facility,97.4,2.6,NFHS-5,2021
IN-AP-prakasam,education,pct_females_never_attended_school,Females age 6+ who never attended school,58.1,41.9,NFHS-5,2021
IN-AP-prakasam,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,78.4,21.6,NFHS-5,2021
IN-AP-prakasam,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,98.6,1.4,NFHS-5,2021
IN-AP-prakasam,electricity,pct_households_no_electricity,Households without an electricity connection,99.3,0.7,NFHS-5,2021
IN-AP-rangareddi,health,pct_births_non_institutional,Births not delivered in a health facility,97.2,2.8,NFHS-5,2021
IN-AP-rangareddi,education,pct_females_never_attended_school,Females age 6+ who never attended school,68.6,31.4,NFHS-5,2021
IN-AP-rangareddi,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,81.1,18.9,NFHS-5,2021
IN-AP-rangareddi,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,99.4,0.6,NFHS-5,2021
IN-AP-rangareddi,electricity,pct_households_no_electricity,Households without an electricity connection,99.7,0.3,NFHS-5,2021
IN-AP-srikakulam,health,pct_births_non_institutional,Births not delivered in a health facility,97.9,2.1,NFHS-5,2021
IN-AP-srikakulam,education,pct_females_never_attended_school,Females age 6+ who never attended school,60.0,40.0,NFHS-5,2021
IN-AP-srikakulam,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,71.6,28.4,NFHS-5,2021
IN-AP-srikakulam,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,87.7,12.3,NFHS-5,2021
IN-AP-srikakulam,electricity,pct_households_no_electricity,Households without an electricity connection,99.9,0.1,NFHS-5,2021
IN-AP-vishakhapatnam,health,pct_births_non_institutional,Births not delivered in a health facility,95.3,4.7,NFHS-5,2021
IN-AP-vishakhapatnam,education,pct_females_never_attended_school,Females age 6+ who never attended school,66.8,33.2,NFHS-5,2021
IN-AP-vishakhapatnam,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,77.8,22.2,NFHS-5,2021
IN-AP-vishakhapatnam,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,91.8,8.2,NFHS-5,2021
IN-AP-vishakhapatnam,electricity,pct_households_no_electricity,Households without an electricity connection,99.6,0.4,NFHS-5,2021
IN-AP-vizianagaram,health,pct_births_non_institutional,Births not delivered in a health facility,99.0,1.0,NFHS-5,2021
IN-AP-vizianagaram,education,pct_females_never_attended_school,Females age 6+ who never attended school,56.0,44.0,NFHS-5,2021
IN-AP-vizianagaram,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,61.7,38.3,NFHS-5,2021
IN-AP-vizianagaram,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,93.1,6.9,NFHS-5,2021
IN-AP-vizianagaram,electricity,pct_households_no_electricity,Households without an electricity connection,99.5,0.5,NFHS-5,2021
IN-AP-west-godavari,health,pct_births_non_institutional,Births not delivered in a health facility,98.7,1.3,NFHS-5,2021
IN-AP-west-godavari,education,pct_females_never_attended_school,Females age 6+ who never attended school,75.4,24.6,NFHS-5,2021
IN-AP-west-godavari,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,80.8,19.2,NFHS-5,2021
IN-AP-west-godavari,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,99.1,0.9,NFHS-5,2021
IN-AP-west-godavari,electricity,pct_households_no_electricity,Households without an electricity connection,99.3,0.7,NFHS-5,2021
IN-AR-changlang,health,pct_births_non_institutional,Births not delivered in a health facility,75.1,24.9,NFHS-5,2021
IN-AR-changlang,education,pct_females_never_attended_school,Females age 6+ who never attended school,74.6,25.4,NFHS-5,2021
IN-AR-changlang,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,82.3,17.7,NFHS-5,2021
IN-AR-changlang,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,81.8,18.2,NFHS-5,2021
IN-AR-changlang,electricity,pct_households_no_electricity,Households without an electricity connection,95.2,4.8,NFHS-5,2021
IN-AR-east-kameng,health,pct_births_non_institutional,Births not delivered in a health facility,76.0,24.0,NFHS-5,2021
IN-AR-east-kameng,education,pct_females_never_attended_school,Females age 6+ who never attended school,63.1,36.9,NFHS-5,2021
IN-AR-east-kameng,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,75.6,24.4,NFHS-5,2021
IN-AR-east-kameng,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,93.6,6.4,NFHS-5,2021
IN-AR-east-kameng,electricity,pct_households_no_electricity,Households without an electricity connection,86.3,13.7,NFHS-5,2021
IN-AR-east-siang,health,pct_births_non_institutional,Births not delivered in a health facility,90.8,9.2,NFHS-5,2021
IN-AR-east-siang,education,pct_females_never_attended_school,Females age 6+ who never attended school,76.8,23.2,NFHS-5,2021
IN-AR-east-siang,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,83.9,16.1,NFHS-5,2021
IN-AR-east-siang,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,97.3,2.7,NFHS-5,2021
IN-AR-east-siang,electricity,pct_households_no_electricity,Households without an electricity connection,97.3,2.7,NFHS-5,2021
IN-AR-kurung-kumey,health,pct_births_non_institutional,Births not delivered in a health facility,69.2,30.8,NFHS-5,2021
IN-AR-kurung-kumey,education,pct_females_never_attended_school,Females age 6+ who never attended school,72.6,27.4,NFHS-5,2021
IN-AR-kurung-kumey,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,78.3,21.7,NFHS-5,2021
IN-AR-kurung-kumey,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,99.8,0.2,NFHS-5,2021
IN-AR-kurung-kumey,electricity,pct_households_no_electricity,Households without an electricity connection,99.2,0.8,NFHS-5,2021
IN-AR-lohit,health,pct_births_non_institutional,Births not delivered in a health facility,90.2,9.8,NFHS-5,2021
IN-AR-lohit,education,pct_females_never_attended_school,Females age 6+ who never attended school,73.3,26.7,NFHS-5,2021
IN-AR-lohit,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,83.7,16.3,NFHS-5,2021
IN-AR-lohit,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,96.9,3.1,NFHS-5,2021
IN-AR-lohit,electricity,pct_households_no_electricity,Households without an electricity connection,98.9,1.1,NFHS-5,2021
